,source,target,weight
144,3,12,15
145,3,41,69
146,3,16,13
147,3,29,8
148,3,19,90
149,3,20,23
150,3,45,12
151,3,26,14
152,3,55,3
153,3,49,12
154,3,43,4
155,3,6,29
156,3,33,10
157,3,22,7
158,3,2,11
159,3,44,10
160,3,21,15
161,3,18,9
162,3,39,16
163,3,28,7
164,3,54,2
165,3,34,2
166,3,7,7
167,3,0,1
168,3,25,5
169,3,46,3
170,3,17,7
171,3,40,7
172,3,57,2
173,3,30,1
174,52,45,9
175,52,24,75
176,52,5,79
177,52,11,39
178,52,19,19
179,52,36,53
180,52,26,17
181,52,2,21
182,52,20,7
183,52,39,20
184,52,23,23
185,52,28,2
186,52,40,15
187,52,43,74
188,52,6,47
189,52,55,54
190,52,33,7
191,52,41,10
192,52,12,38
193,52,0,3
194,52,15,15
195,52,21,13
196,52,16,16
197,52,44,8
198,52,9,11
199,52,4,6
200,52,34,3
201,52,54,6
202,52,22,4
203,52,29,25
204,52,49,15
205,52,25,9
206,52,7,6
207,52,46,5
208,52,17,5
209,52,18,7
210,52,51,1
211,52,57,1
212,52,30,1
213,5,6,166
214,5,15,251
215,5,19,178
216,5,17,58
217,5,26,56
218,5,24,250
219,5,33,128
220,5,45,93
221,5,51,13
222,5,36,114
223,5,11,32
224,5,16,194
225,5,34,80
226,5,20,194
227,5,49,80
228,5,40,117
229,5,7,61
230,5,44,55
231,5,41,95
232,5,57,35
233,5,23,203
234,5,2,181
235,5,12,79
236,5,39,114
237,5,9,213
238,5,21,67
239,5,55,41
240,5,22,42
241,5,0,18
242,5,46,43
243,5,25,92
244,5,43,22
245,5,29,65
246,5,10,1
247,5,28,38
248,5,54,55
249,5,42,1
250,5,18,20
251,5,4,9
252,5,13,1
253,6,20,32
254,6,9,20
255,6,46,10
256,6,15,25
257,6,19,45
258,6,28,11
259,6,55,20
260,6,25,20
261,6,12,38
262,6,29,34
263,6,33,31
264,6,24,48
265,6,49,68
266,6,16,32
267,6,39,115
268,6,54,11
269,6,21,18
270,6,23,49
271,6,36,116
272,6,11,9
273,6,41,29
274,6,34,14
275,6,45,16
276,6,18,9
277,6,26,21
278,6,43,5
279,6,22,9
280,6,0,6
281,6,2,18
282,6,4,6
283,6,51,4
284,6,7,10
285,6,17,12
286,6,44,13
287,6,40,25
288,6,57,2
289,6,30,1
290,7,39,10
291,7,29,3
292,7,44,15
293,7,19,34
294,7,24,11
295,7,43,4
296,7,26,3
297,7,21,11
298,7,20,55
299,7,23,10
300,7,2,13
301,7,49,11
302,7,11,6
303,7,41,13
304,7,28,17
305,7,36,4
306,7,54,9
307,7,22,3
308,7,17,4
309,7,45,9
310,7,15,16
311,7,55,4
312,7,18,9
313,7,16,11
314,7,33,8
315,7,12,2
316,7,57,2
317,7,25,7
318,7,34,5
319,7,9,10
320,7,40,4
321,7,0,2
322,7,46,3
323,7,4,2
324,39,16,54
325,39,46,13
326,39,24,34
327,39,21,13
328,39,20,26
329,39,41,30
330,39,19,33
331,39,33,49
332,39,15,31
333,39,29,21
334,39,11,7
335,39,23,29
336,39,28,7
337,39,26,10
338,39,9,24
339,39,22,9
340,39,2,18
341,39,17,17
342,39,36,28
343,39,44,9
344,39,34,22
345,39,54,9
346,39,25,25
347,39,55,8
348,39,18,14
349,39,12,26
350,39,40,23
351,39,49,33
352,39,51,4
353,39,4,7
354,39,45,15
355,39,43,6
356,39,0,4
357,39,57,2
358,9,46,3
359,9,54,21
360,9,41,30
361,9,21,21
362,9,36,15
363,9,26,11
364,9,55,7
365,9,16,33
366,9,34,7
367,9,15,35
368,9,18,12
369,9,28,21
370,9,20,32
371,9,19,52
372,9,22,45
373,9,49,18
374,9,2,30
375,9,24,25
376,9,12,26
377,9,23,38
378,9,33,16
379,9,29,18
380,9,25,56
381,9,17,10
382,9,44,25
383,9,45,17
384,9,43,5
385,9,40,17
386,9,0,4
387,9,11,6
388,9,4,4
389,9,57,2
390,11,12,13
391,11,43,21
392,11,29,249
393,11,24,59
394,11,55,49
395,11,19,20
396,11,49,12
397,11,22,2
398,11,28,8
399,11,20,20
400,11,45,7
401,11,2,74
402,11,25,5
403,11,54,4
404,11,44,8
405,11,41,16
406,11,26,9
407,11,21,16
408,11,15,9
409,11,23,3
410,11,18,12
411,11,16,16
412,11,4,4
413,11,57,4
414,11,40,4
415,11,0,1
416,11,33,4
417,11,36,6
418,11,46,2
419,11,17,1
420,11,34,3
421,11,51,1
422,12,29,22
423,12,24,97
424,12,43,71
425,12,55,80
426,12,15,32
427,12,40,9
428,12,26,26
429,12,19,24
430,12,20,13
431,12,46,5
432,12,41,19
433,12,23,23
434,12,44,6
435,12,25,6
436,12,2,17
437,12,49,11
438,12,51,3
439,12,34,8
440,12,45,9
441,12,4,6
442,12,36,39
443,12,28,2
444,12,18,10
445,12,21,7
446,12,16,9
447,12,33,6
448,12,57,3
449,12,0,5
450,12,54,6
451,12,17,5
452,12,22,6
453,12,30,1
454,2,46,7
455,2,16,34
456,2,25,11
457,2,19,34
458,2,26,9
459,2,29,41
460,2,23,35
461,2,20,30
462,2,44,22
463,2,15,43
464,2,55,11
465,2,21,15
466,2,22,8
467,2,17,8
468,2,45,29
469,2,49,6
470,2,0,4
471,2,28,4
472,2,36,11
473,2,54,11
474,2,24,25
475,2,33,9
476,2,41,29
477,2,34,9
478,2,40,12
479,2,43,6
480,2,51,6
481,2,18,5
482,2,4,3
483,2,30,1
484,2,57,1
485,46,15,14
486,46,16,13
487,46,45,7
488,46,33,8
489,46,19,11
490,46,20,5
491,46,23,13
492,46,24,5
493,46,28,7
494,46,21,3
495,46,34,5
496,46,40,11
497,46,0,1
498,46,36,4
499,46,55,1
500,46,57,3
501,46,22,3
502,46,54,5
503,46,25,5
504,46,49,6
505,46,29,5
506,46,41,7
507,46,17,2
508,46,43,2
509,46,44,3
510,46,26,2
511,46,51,1
512,46,4,1
513,15,41,20
514,15,36,44
515,15,17,16
516,15,24,36
517,15,33,22
518,15,16,64
519,15,20,36
520,15,54,23
521,15,23,50
522,15,34,11
523,15,45,46
524,15,43,4
525,15,19,40
526,15,21,24
527,15,55,6
528,15,26,23
529,15,28,19
530,15,29,12
531,15,40,25
532,15,25,33
533,15,49,19
534,15,22,19
535,15,44,10
536,15,18,22
537,15,51,9
538,15,0,4
539,15,57,2
540,15,4,5
541,15,30,2
542,16,24,23
543,16,28,11
544,16,40,55
545,16,21,18
546,16,23,56
547,16,17,28
548,16,29,23
549,16,19,41
550,16,41,41
551,16,20,22
552,16,36,13
553,16,22,14
554,16,44,13
555,16,34,41
556,16,25,39
557,16,43,4
558,16,45,41
559,16,55,9
560,16,4,13
561,16,26,19
562,16,49,19
563,16,33,15
564,16,54,18
565,16,0,3
566,16,57,3
567,16,18,11
568,16,51,2
569,16,30,2
570,45,24,17
571,45,54,15
572,45,21,10
573,45,40,17
574,45,28,19
575,45,20,23
576,45,25,32
577,45,29,9
578,45,19,32
579,45,44,10
580,45,22,9
581,45,26,10
582,45,23,35
583,45,33,11
584,45,34,12
585,45,43,1
586,45,41,14
587,45,36,15
588,45,57,3
589,45,17,10
590,45,0,3
591,45,18,3
592,45,49,6
593,45,55,6
594,45,51,3
595,45,4,1
596,18,29,18
597,18,26,31
598,18,21,12
599,18,24,28
600,18,20,15
601,18,19,29
602,18,28,5
603,18,41,53
604,18,36,20
605,18,44,7
606,18,22,3
607,18,23,8
608,18,55,8
609,18,33,10
610,18,49,8
611,18,34,2
612,18,57,2
613,18,4,2
614,18,30,1
615,18,17,4
616,18,54,6
617,18,40,4
618,18,43,3
619,18,25,1
620,18,0,1
621,19,57,6
622,19,20,121
623,19,21,85
624,19,23,46
625,19,41,86
626,19,29,17
627,19,24,33
628,19,49,27
629,19,33,15
630,19,44,91
631,19,40,13
632,19,26,19
633,19,34,16
634,19,28,17
635,19,17,10
636,19,54,14
637,19,36,22
638,19,22,18
639,19,43,8
640,19,25,18
641,19,4,9
642,19,30,1
643,19,55,13
644,19,0,3
645,19,13,2
646,19,51,4
647,19,37,1
648,20,21,48
649,20,41,40
650,20,23,39
651,20,28,18
652,20,29,18
653,20,40,15
654,20,24,30
655,20,44,23
656,20,22,7
657,20,49,15
658,20,25,21
659,20,55,9
660,20,33,11
661,20,17,7
662,20,54,18
663,20,34,7
664,20,36,13
665,20,43,6
666,20,4,5
667,20,51,1
668,20,26,19
669,20,57,3
670,20,0,6
671,21,17,8
672,21,54,17
673,21,29,15
674,21,23,18
675,21,24,21
676,21,55,7
677,21,28,8
678,21,41,44
679,21,26,8
680,21,25,15
681,21,22,9
682,21,36,7
683,21,34,4
684,21,44,13
685,21,4,4
686,21,43,4
687,21,40,7
688,21,57,3
689,21,49,7
690,21,33,2
691,22,43,3
692,22,23,66
693,22,26,7
694,22,44,4
695,22,34,9
696,22,24,15
697,22,33,5
698,22,49,2
699,22,41,13
700,22,54,11
701,22,17,4
702,22,29,5
703,22,36,8
704,22,28,5
705,22,25,14
706,22,57,1
707,22,4,3
708,22,55,1
709,22,40,11
710,22,51,2
711,23,54,35
712,23,4,10
713,23,29,14
714,23,24,36
715,23,55,17
716,23,57,13
717,23,41,41
718,23,51,4
719,23,36,22
720,23,28,13
721,23,40,30
722,23,44,30
723,23,17,10
724,23,25,40
725,23,43,4
726,23,33,19
727,23,49,13
728,23,26,17
729,23,34,10
730,23,0,7
731,23,13,2
732,24,44,13
733,24,26,140
734,24,49,44
735,24,29,111
736,24,34,9
737,24,43,70
738,24,41,54
739,24,55,62
740,24,36,26
741,24,57,4
742,24,28,4
743,24,33,9
744,24,54,16
745,24,4,3
746,24,40,5
747,24,17,6
748,24,25,13
749,24,0,5
750,55,43,37
751,55,29,27
752,55,26,20
753,55,4,4
754,55,36,17
755,55,41,10
756,55,57,1
757,55,33,3
758,55,0,1
759,55,28,4
760,55,44,4
761,55,49,9
762,55,54,4
763,55,34,6
764,55,40,1
765,55,17,5
766,26,29,34
767,26,0,4
768,26,40,7
769,26,36,18
770,26,33,9
771,26,28,3
772,26,54,5
773,26,41,18
774,26,44,4
775,26,43,13
776,26,49,22
777,26,4,1
778,26,25,9
779,26,34,12
780,26,57,3
781,26,17,2
782,26,51,1
783,29,28,4
784,29,25,16
785,29,43,19
786,29,51,3
787,29,36,26
788,29,41,20
789,29,33,9
790,29,34,10
791,29,54,6
792,29,44,5
793,29,49,23
794,29,40,17
795,29,0,4
796,29,4,3
797,29,17,2
798,29,57,1
799,28,51,2
800,28,41,10
801,28,34,4
802,28,54,3
803,28,49,6
804,28,25,6
805,28,33,7
806,28,40,4
807,28,4,1
808,28,44,5
809,28,43,2
810,28,17,4
811,28,36,4
812,28,57,2
813,28,0,1
814,40,36,9
815,40,54,12
816,40,44,8
817,40,17,10
818,40,41,11
819,40,49,5
820,40,25,8
821,40,33,27
822,40,34,12
823,40,57,1
824,40,51,1
825,40,4,2
826,40,43,2
827,25,44,12
828,25,49,10
829,25,54,23
830,25,17,11
831,25,33,13
832,25,43,2
833,25,4,3
834,25,36,9
835,25,0,5
836,25,41,16
837,25,34,4
838,25,57,2
839,25,51,2
840,33,54,4
841,33,41,13
842,33,44,6
843,33,34,11
844,33,43,2
845,33,17,8
846,33,49,16
847,33,51,1
848,33,36,11
849,33,4,2
850,33,0,3
851,33,57,5
852,54,17,8
853,54,49,6
854,54,41,9
855,54,36,6
856,54,34,7
857,54,44,13
858,54,57,2
859,54,0,1
860,54,43,1
861,54,51,2
862,54,4,1
863,54,30,1
864,34,36,9
865,34,44,8
866,34,41,9
867,34,49,10
868,34,17,6
869,34,43,4
870,34,4,3
871,34,0,4
872,34,51,2
873,0,41,4
874,0,17,2
875,0,49,3
876,0,44,2
877,0,57,1
878,0,36,1
879,36,17,5
880,36,49,43
881,36,41,29
882,36,43,14
883,36,44,9
884,36,4,4
885,36,30,1
886,36,51,2
887,49,43,11
888,49,44,11
889,49,17,5
890,49,4,5
891,49,41,19
892,49,57,3
893,49,51,3
894,41,44,32
895,41,17,6
896,41,43,11
897,41,51,4
898,41,4,5
899,41,57,3
900,17,44,6
901,17,51,2
902,17,4,5
903,17,43,2
904,17,57,2
905,43,57,1
906,43,4,2
907,43,51,1
908,43,44,1
909,44,51,1
910,44,4,1
911,44,57,3
912,44,30,1
913,4,51,1
914,51,57,1
